fold,start,end,right_aligned,auroc,auprc,brier,cal_slope,cal_intercept
2,3,8,0,0.8975687826342709,0.6982821085257406,0.1271083806405515,0.7134071110842872,-1.4734891380522135
2,4,9,0,0.8971386882503257,0.6979669858057493,0.12530566381030658,0.706873483488048,-1.4483289115850069
2,5,10,0,0.898668846422692,0.6998010314965257,0.12387862112783894,0.704353961391469,-1.4295245016017253
2,6,11,0,0.9014106026286941,0.7034711238567883,0.12182223385409188,0.7172966917762533,-1.4305619245207521
2,7,12,0,0.9010782916926084,0.702323242834333,0.11972812856775718,0.7154237188204878,-1.4136440096550495
2,8,13,0,0.9017222873687466,0.7091245380445459,0.1199230046162464,0.7180411823367151,-1.412986337851952
2,9,14,0,0.9030202098524462,0.7139894422301549,0.11865611951199126,0.7204284849826244,-1.4061577403643883
2,10,15,0,0.9054655599821242,0.7189801023490486,0.11678450239495707,0.7300435831163169,-1.4033915520403089
2,11,16,0,0.9068918232411393,0.7233522486768134,0.1164400201784657,0.731487247251976,-1.4047986531001646
2,12,17,0,0.9093577995668499,0.7286555432929654,0.11526351275619516,0.7439359050155354,-1.414171914140061
2,13,18,0,0.9101339556842358,0.7285896185693733,0.11464852613759745,0.7518024658250672,-1.4252957538923847
2,14,19,0,0.9105724533332316,0.7237992696957549,0.1158740549800523,0.7513386897875435,-1.43593077576977
2,15,20,0,0.9091744556021132,0.7192051983402998,0.11609558724102158,0.7461260755304338,-1.4275275838256487
2,16,21,0,0.9092264030587884,0.7178658416729221,0.11560712252725702,0.7501156149583333,-1.4221532111544726
2,17,22,0,0.9084724010038081,0.7165438475114067,0.11671356866431064,0.7430386165405353,-1.4189442419581373
2,18,23,1,0.9081263392703675,0.720683629483412,0.11694020275730098,0.7401984686343438,-1.4209670105562857
3,0,5,0,0.8997916456939602,0.6933173028621914,0.12910967729773032,0.7131217481485058,-1.4868245447231647
3,1,6,0,0.9004429435613028,0.6943653055393236,0.12520070900953828,0.7133940952423394,-1.4380028809680454
3,2,7,0,0.9004162510257561,0.7014233478921461,0.12318721538192777,0.7128528956309849,-1.4058434098511725
3,3,8,0,0.9040845680537632,0.7100621101684766,0.11935502309261173,0.7270866112045954,-1.3891784170411734
3,4,9,0,0.9042790422413188,0.7102922925066855,0.11856219762895617,0.7271302480008951,-1.3829268364750762
3,5,10,0,0.9044819055114748,0.7116312855212619,0.11625586418444252,0.7370984865462548,-1.3677334215569306
3,6,11,0,0.9045131739102581,0.7122562355031979,0.11565819280528433,0.7350595375428527,-1.3572681422704638
3,7,12,0,0.9059972788866619,0.7163422879003788,0.11399408039786173,0.7408218650884874,-1.3524739031118191
3,8,13,0,0.9086428904812893,0.722716697287831,0.11190716424373286,0.7480041991079194,-1.3476627802213301
3,9,14,0,0.9082661444081426,0.7197977122301171,0.11121163515068208,0.7395788207529387,-1.3357896227769772
3,10,15,0,0.9115104314428917,0.7238153767541391,0.10966700905884905,0.7443928451465478,-1.3239609747483276
3,11,16,0,0.9121846086264175,0.7275902799287464,0.10804176720371798,0.7460399259340523,-1.3067539864192594
3,12,17,0,0.9147859868764243,0.7309598892471079,0.10702480930746286,0.7547913090354458,-1.3053945200170434
3,13,18,0,0.9139409774653989,0.7300875178637233,0.10707209419983924,0.7488883684528664,-1.293688969243724
3,14,19,0,0.9138113280070285,0.7330415298512851,0.10728350382275552,0.7468413434656435,-1.2884228893274001
3,15,20,0,0.9141575683252645,0.730689292422098,0.1047128603993394,0.7512592907716831,-1.2649205532917538
3,16,21,0,0.9134681382642837,0.7301658711684201,0.10485591403326405,0.7480547801019088,-1.2547276616248642
3,17,22,0,0.9119802200685159,0.7227106123732621,0.10550813809201948,0.7377057806978273,-1.2449038978068716
3,18,23,1,0.9122013867916182,0.7274502928359504,0.10459297130974793,0.7439688081046781,-1.2422132934384673
4,0,5,0,0.8908519342173902,0.6611109217895581,0.12837631585655943,0.6784566121694346,-1.419970634410223
4,1,6,0,0.8947162507206985,0.6681981883398609,0.12578121862780214,0.6868058223842783,-1.4013620045672037
4,2,7,0,0.8964276235711867,0.6723716959821743,0.1218248454925663,0.6898237562800764,-1.3581695471474222
4,3,8,0,0.9015625047665241,0.6801926998367646,0.11827082545850046,0.7102421374971409,-1.3405558004259652
4,4,9,0,0.9004002355044278,0.6743846565974496,0.11780487965691762,0.6994783687236819,-1.3222898478728307
4,5,10,0,0.9007769815775745,0.6814514097891893,0.11759011332201925,0.7052489656333664,-1.323499208743351
4,6,11,0,0.9015266605045041,0.6793642575184777,0.11658243138132363,0.7033682083682216,-1.314511366791534
4,7,12,0,0.9008349425119049,0.6773595842913863,0.1172718275792157,0.6953264408321145,-1.3094993853062178
4,8,13,0,0.9005626786493274,0.6745796513570874,0.1169293155146774,0.6911926762971281,-1.3105842163213715
4,9,14,0,0.902824680375953,0.6873080896073177,0.11351108669354588,0.7075732806094109,-1.305075592817131
4,10,15,0,0.9018248542587559,0.68667682811747,0.11394761501823572,0.6996835927069296,-1.2986538299091415
4,11,16,0,0.9021893980299385,0.6949786296026634,0.11321895148380703,0.6963801759059078,-1.274130643098088
4,12,17,0,0.9023602302574381,0.6953875656025971,0.11128237598327118,0.6957421832030516,-1.2579328152511637
4,13,18,0,0.9028254430198257,0.6928556074015826,0.11238263561165926,0.6976812014818524,-1.2628679332637216
4,14,19,0,0.9067614480471741,0.7015128849997075,0.11128857004645883,0.7140588202604874,-1.2754252840160178
4,15,20,0,0.9061848892793627,0.7048044240555668,0.11155602643845082,0.7186422738928008,-1.2748733215501329
4,16,21,0,0.906584514668692,0.7045386253482724,0.11211863494758931,0.7190749330797264,-1.2880723885113554
4,17,22,0,0.906801105528558,0.704442282781682,0.11037524677989596,0.7216015263593546,-1.278940973262996
4,18,23,1,0.9081319190865357,0.7122030556114387,0.10953150997315607,0.7315394389560212,-1.288330292945196
5,0,5,0,0.9039861869941763,0.6843526023772708,0.12839387411776454,0.7713407829985723,-1.5880419185862165
5,1,6,0,0.9075606988258335,0.6898196576326656,0.12457330436344086,0.7784395715355671,-1.5614223906952107
5,2,7,0,0.9076316247060008,0.6911974952583039,0.12065481463701787,0.7770572626509133,-1.5152014923977577
5,3,8,0,0.9114883147705815,0.7049639714619556,0.11733384634374812,0.8019723634007214,-1.5100221707404236
5,4,9,0,0.9096160240629395,0.70522392436953,0.11809227208465727,0.78925987405817,-1.499507907997463
5,5,10,0,0.9101407230474028,0.7081301623555664,0.11769665007805735,0.7964696846346215,-1.493701223806906
5,6,11,0,0.9102802868761191,0.7107412322994354,0.11583201702424971,0.7923037792551404,-1.46161639156442
5,7,12,0,0.9095267947298258,0.7099654370150799,0.116325190203823,0.7829773402292346,-1.4446874302735533
5,8,13,0,0.9085109530913006,0.7069563975467196,0.11696548035225063,0.7699379640924753,-1.4332078962740522
5,9,14,0,0.909800583880149,0.70816053069706,0.11485769118308424,0.7736886979961637,-1.4148961632734989
5,10,15,0,0.9089403215916684,0.7076345209568669,0.11481092682826226,0.7600744234327422,-1.394008009369
5,11,16,0,0.9106829628409401,0.7135075060099705,0.11233545022380162,0.7670349149595447,-1.3773765270742029
5,12,17,0,0.914273490193925,0.7189138166692676,0.11112652557480106,0.7885980086092661,-1.3990165453962387
5,13,18,0,0.91345059745521,0.7227341894785342,0.11039252832751734,0.7861094396309576,-1.38594238750895
5,14,19,0,0.9171997547337304,0.7294434342465805,0.10707592708747914,0.8036291187765979,-1.3831064915302664
5,15,20,0,0.9133895859453885,0.7297050354477546,0.10921547953853376,0.7866119491482935,-1.3813632977065944
5,16,21,0,0.9134681382642836,0.7333006061229446,0.1083166936400032,0.7924176817626525,-1.3833810448540864
5,17,22,0,0.9122463827801115,0.730856368041068,0.10964576093607098,0.7865247589783947,-1.3846245905771626
5,18,23,1,0.9127108328986262,0.736800430911576,0.10906648016569545,0.7932607836355636,-1.38313479889693
